Job ID,Start Date,Date of Completion,Days on Job,Date invoiced,#days to inv completion,City,Job type,Invoice Amt $,PAID Y/N,AMT PAID,Insurance Y/N,Repeat Client
22SC001,1/2/2022,1/2/2022,1,,,Vista (North of San Diego),Feces,"$1,501.45",Y,"$1,501.45",N,
22SC002,1/3/2022,1/3/2022,1,,,San Diego,Feces,"$1,420.61",Y,"$1,420.61",N,
22SC003,1/3/2022,1/3/2022,1,,,San Diego,ID Clean,"$2,019.57",Y,"$2,019.57",N,
22SC004,1/3/2022,1/3/2022,1,,,Los Angeles,Infectious Disease - Covid,"$1,254.55",Y,"$1,254.55",N,
22SC005,1/4/2022,1/4/2022,1,,,Chula Vista (SD County),Trash removal,"$1,481.56",Y,"$1,481.56",N,Repeat Client
22SC006,1/5/2022,1/5/2022,1,,,La Mesa (San Diego),Bed bugs,"$3,051.78",Y,"$3,051.78",N,
22SC007,1/5/2022,1/7/2022,3,,,Van Nuys (North of LA),Hoarding,"$8,432.50",Y,"$8,432.50",N,
22SC008,1/6/2022,1/6/2022,1,,,Canoga Park (North of LA),Bed removal,"$1,665.57",Y,"$1,665.57",N,
22SC009,1/7/2022,1/7/2022,1,,,San Diego,Blood cleanup,"$3,518.16",Y,"$3,518.16",N,
22SC010,1/7/2022,1/7/2022,1,,,Los Angeles,Infectious Disease - Covid,$632.04,Y,$632.04,N,
22SC011,1/9/2022,1/9/2022,1,,,Los Angeles,Infectious Disease - Covid,$458.66,Y,$458.66,N,
22SC012,1/11/2022,1/11/2022,1,,,Fontana (San Bernadino County),Infectious Disease - Covid,"$3,993.17",Y,"$3,993.17",N,Repeat Client
22SC013,1/11/2022,1/11/2022,1,,,Oceanside (North San Diego),Bathroom bio,"$1,745.10",Y,"$1,745.10",N,
22SC014,1/12/2022,1/18/2022,5,,,Loma Linda (San Bernadino County),Decomp,"$15,049.62",Y,"$15,049.62",N,Repeat Client
22SC015,1/14/2022,1/14/2022,1,,,Chula Vista (SD County),Trash removal,$835.07,Y,$835.07,N,Repeat Client
22SC016,1/15/2022,1/15/2022,1,,,Orange (orange county),Covid + Blood Clean,"$10,932.24",Y,"$10,932.24",Y,
22SC017,1/17/2022,1/17/2022,1,,,Santa Ana,Transient camp,$804.97,Y,$804.87,N,
22SC018,1/19/2022,1/19/2022,1,,,Los Angeles,Transient camp,"$2,556.78",Y,"$2,556.78",N,
22SC019,,,0,,,San Diego,Hoarding,"$29,448.10",Y,"$29,448.10",N,
22SC020,1/20/2022,1/21/2022,2,,,Hermosa Beach (LA County),Decomp,"$5,149.12",Y,"$5,149.12",N,
22SC021,1/22/2022,1/22/2022,1,,,Mojave,Infectious Disease - Covid,"$3,361.93",Y,"$3,361.93",N,
22SC022,1/22/2022,1/22/2022,1,,,West Hollywood,Transient feces,$781.56,Y,$781.56,N,Repeat Client
22SC023,1/23/2022,1/23/2022,1,,,San Diego,Dry out,$0.00,N,,Y,
22SC024,1/24/2022,1/26/2022,3,,,Inglewood,Homicides,"$72,197.61",Y,"$72,197.61",Y,
22SC025,1/25/2022,1/25/2022,1,02/25/22,31,Lancaster,Homcides,"$37,795.54",Y,"$37,795.54",Y,Repeat Client
22SC026,1/26/2022,1/26/2022,1,,,San Dimas,Rat clean,"$9,000.00",Y,"$9,000.00",N,
22SC027,1/27/2022,1/28/2022,2,,,Sherman Oaks (LA),Gross Filth,"$6,616.81",Y,"$6,616.81",N,
22SC028,1/29/2022,1/29/2022,1,,,Garden Grove (OC),Feces,"$17,652.27",Y,"$17,652.27",Y,
22SC029,2/2/2022,2/2/2022,1,02/22/22,20,San Juan Capistrano,room disinfection,"$3,386.11",Y,"$3,386.11",N,
22SC030,2/3/2022,2/3/2022,1,02/23/22,20,Los Angeles,Blood cleanup,"$2,761.55",Y,"$2,761.55",N,
22SC031,2/4/2022,2/4/2022,1,02/22/22,18,Chula Vista,trash pickup,$801.43,Y,$801.43,N,Repeat Client
22SC032,2/5/2022,2/5/2022,1,02/23/22,18,Costa Vista,feces clean,"$1,820.45",Y,"$1,820.45",N,
22SC033,2/5/2022,2/5/2022,1,02/08/22,3,Los Angeles,Decomp,"$4,694.87",Y,"$4,694.87",N,
22SC034,2/6/2022,2/6/2022,1,02/22/22,16,Encinitas,Feces + trash,"$2,000.00",Y,"$2,000.00",N,
22SC035,2/7/2022,2/7/2022,1,02/28/22,21,Riverside,Feces clean,"$3,910.24",Y,"$3,910.24",N,
22SC036,2/9/2022,2/11/2022,2,03/02/22,19,San Diego,Bed bugs + Hoarding,"$1,043.96",Y,"$1,043.96",N,
22SC037,2/10/2022,2/10/2022,1,03/01/22,19,San Diego,Transient camp,"$3,419.50",Y,"$3,419.50",N,
22SC038,2/10/2022,2/10/2022,1,03/01/22,19,Santa Fe Springs,Oil Cleanup,"$15,992.69",Y,"$15,992.69",Y,
22SC039,2/11/2022,2/11/2022,1,02/25/22,14,Aliso Viejo,Decomp,"$2,749.03",Y,"$2,749.03",N,
22SC040,2/15/2022,2/15/2022,1,03/02/22,15,Brawley,Rat feces,"$2,859.97",Y,"$2,859.97",N,
22SC041,2/21/2022,2/22/2022,2,02/28/22,6,Vista,Decomp,"$5,169.96",Y,"$5,169.96",N,
22SC042,2/22/2022,2/22/2022,1,03/02/22,8,Pasadena,Sewage,"$1,000.00",Y,"$1,000.00",N,
22SC043,2/26/2022,2/26/2022,1,03/18/22,20,San Diego,Feces,"$3,193.91",Y,"$3,193.31",N,
22SC044,2/26/2022,2/26/2022,1,03/15/22,17,Sherman Oaks,Feces,"$3,007.04",Y,"$3,007.04",N,
22SC045,2/28/2022,3/1/2022,2,03/03/22,2,Lucerne Valley,Hoarding,"$8,444.47",Y,"$8,444.47",N,
22SC046,2/28/2022,3/1/2022,2,04/14/22,44,Escondido,Hoarding / Cat,"$22,000.00",Y,"$22,000.00",N,
22SC047,3/3/2022,3/11/2022,6,04/12/22,32,La Mesa,Decomp,"$55,000.00",N,"$50,000.00",Y,Repeat Client
22SC048,3/4/2022,3/4/2022,1,03/11/22,7,San Diego,Blood cleanup,"$3,589.82",Y,"$3,589.82",N,
22SC049,3/4/2022,3/4/2022,1,03/29/22,25,San Diego,Gross filth,"$3,000.00",N,,N,
22SC050,3/7/2022,3/7/2022,1,03/15/22,8,Pasadena,Bedroom dog,"$2,950.34",Y,"$2,950.34",N,
22SC051,3/8/2022,3/8/2022,1,03/15/22,7,Escondido,Feces,"$2,625.20",Y,"$2,625.20",N,
22SC052,3/9/2022,3/11/2022,2,04/01/22,21,Los Angeles,Decomp,"$4,495.94",pmt plan,"$3,595.94",N,
22SC053,3/9/2022,3/9/2022,1,03/24/22,15,Vista,Transient camp,"$1,950.46",Y,"$1,950.46",N,
22SC054,3/10/2022,3/10/2022,1,03/21/22,11,Escondido,Transient camp,"$3,135.00",Y,"$3,135.00",N,
22SC055,3/10/2022,3/10/2022,1,03/21/22,11,Irvine,Mattress removal,"$1,881.00",Y,"$1,881.00",N,
22SC056,3/11/2022,3/11/2022,1,03/21/22,10,Playa Del Rey,Mattress removal,"$1,200.00",Y,"$1,200.00",N,
22SC057,3/11/2022,3/12/2022,2,03/28/22,16,San Diego,Decomp,"$30,232.85",Y,"$30,232.85",Y,
22SC058,3/14/2022,3/14/2022,1,03/16/22,2,San Diego,Trash & bed bugs,"$1,567.50",Y,"$1,567.50",N,
22SC059,3/15/2022,3/15/2022,1,03/30/22,15,Tustin,Infectious disease C-Diff,"$6,248.82",Y,"$6,248.82",N,
22SC060,3/15/2022,3/15/2022,1,03/24/22,9,El Cajon,Trash cleanout,"$5,000.00",Y,"$5,000.00",N,
22SC061,3/15/2022,3/15/2022,1,03/24/22,9,North Hollywood,Blood cleanup,"$3,214.26",Y,"$3,214.26",N,
22SC062,3/18/2022,3/18/2022,1,03/24/22,6,Escondido,Feces clean,"$1,254.00",Y,"$1,254.00",N,
22SC063,3/21/2022,3/21/2022,1,03/31/22,10,Chula Vista,Trash pickup,$642.37,Y,,N,
22SC064,3/21/2022,3/21/2022,1,04/04/22,14,San Pedro,Sucide,"$28,189.76",Y,"$28,189.76",Y,
22SC065,3/22/2022,3/22/2022,1,04/01/22,10,Poway,GI Bleed,"$2,090.00",Y,"$2,090.00",N,
22SC066,3/24/2022,3/24/2022,1,04/05/22,12,La Jolla,Sewage,"$2,090.00",Y,"$2,090.00",N,
22SC067,3/25/2022,3/29/2022,4,04/08/22,10,Santa Monica,Feces & Hoard,$0.00,N,COLLECTIONS,-,
22SC068,3/26/2022,3/29/2022,3,,,Los Angeles,Sewage,$0.00,,COLLECTIONS,Y,
22SC069,3/27/2022,3/27/2022,1,04/08/22,12,Santa Ana,Feces clean,"$2,196.04",Y,"$2,196.04",N,
22SC070,3/28/2022,3/28/2022,1,04/05/22,8,Desert Hot Springs,Sewage,"$2,501.93",Y,"$2,501.93",N,
22SC071,3/31/2022,4/1/2022,2,04/18/22,17,Loma Linda,Concrete removal,"$1,881.00",Y,"$1,881.00",N,Repeat Client
22SC072,3/31/2022,3/31/2022,1,04/08/22,8,Los Angeles,Transient camp,"$1,980.96",Y,"$1,980.96",N,
22SC073,4/2/2022,4/2/2022,1,04/25/22,23,Studio City,Blood cleanup,"$1,651.99",Y,"$1,651.99",N,
22SC074,4/3/2022,4/3/2022,1,04/22/22,19,Torrance,Sewage cleanup,"$2,218.17",Y,"$2,218.17",N,
22SC075,4/4/2022,4/4/2022,1,04/22/22,18,Oxnard,Infectious Disease,"$3,358.60",Y,"$3,358.60",N,
22SC076,4/4/2022,4/4/2022,1,05/03/22,29,Torrance,Blood & Feces,"$11,323.54",Y,"$11,323.54",Y,
22SC077,4/5/2022,4/5/2022,1,04/22/22,17,Anaheim,Disinfection unit,"$1,694.11",Y,"$1,694.11",N,Repeat Client
22SC078,4/6/2022,4/6/2022,1,,,Long Beach,Transient camp,"$3,071.00",N,"$3,071.00",N,
22SC079,4/6/2022,4/6/2022,1,05/02/22,26,Oxnard,Infectious Disease,"$3,243.19",Y,"$3,243.19",N,Repeat Client
22SC080,4/8/2022,4/8/2022,1,04/26/22,18,Glendale,Gross Filth & Chemical Spill,"$3,558.72",Y,"$3,558.72",N,
22SC081,4/9/2022,4/9/2022,1,,,Irvine,Feces,"$2,119.31",Y,"$2,119.31",N,
22SC082,4/10/2022,4/10/2022,1,04/22/22,12,Los Angeles,Feces & Hoarding,"$5,071.37",Y,"$5,071.37",N,
22SC083,4/11/2022,4/11/2022,1,05/02/22,21,Reseda,Rats,"$2,700.00",Y,"$2,700.00",N,
22SC084,4/12/2022,4/12/2022,1,04/14/22,2,Riverside,Hazmat pickup,"$1,555.97",Y,"$1,555.97",N,
22SC085,4/13/2022,4/13/2022,1,05/02/22,19,San Diego,Feces cleanup,$775.93,Y,$775.93,N,Repeat Client
22SC086,4/13/2022,4/14/2022,2,,,Palmdale,Hoarding - cats,"$50,000.00",Y,"$50,000.00",N,
22SC087,4/13/2022,4/13/2022,1,,,Corona,Biohazard pickup,"$1,694.78",Y,"$1,694.78",N,
22SC088,4/14/2022,4/14/2022,1,05/04/22,20,San Diego,Decomp,"$5,500.00",Y,"$5,500.00",N,
22SC089,4/15/2022,4/15/2022,1,05/03/22,18,Hollywood Way,Bedbugs hoard,"$3,590.70",N,COLLECTIONS,N,
22SC090,4/17/2022,4/17/2022,1,,,Solano Beach ,Sewage cleanup,$700.00,Y,$700.00,N,
22SC091,4/17/2022,4/20/2022,4,06/02/22,43,Simi Valley,Decomp,"$49,173.78",Y,"$49,173.78",Y,#REF!
22SC092,4/18/2022,4/18/2022,1,05/03/22,15,Pico Rivera,Hazmat pickup,"$1,814.78",Y,"$1,814.78",N,
22SC093,4/19/2022,4/19/2022,1,05/03/22,14,Rialto,Decomp,"$3,886.66",Y,"$3,886.66",N,
22SC094,4/20/2022,4/20/2022,1,04/27/22,7,Carlsbad,Feces & filth,"$5,225.00",Y,"$5,225.00",N,
22SC095,4/21/2022,4/21/2022,1,05/06/22,15,Los Angeles,Transient camp,"$1,067.62",Y,"$1,067.62",N,
22SC096,4/22/2022,4/22/2022,1,05/10/22,18,Escondido,Transient camp,"$1,716.61",Y,"$1,716.61",N,
22SC097,4/23/2022,4/23/2022,1,05/03/22,10,Palm Springs,Gross Filth,"$12,158.00",Y,"$12,158.00",N,
22SC098,4/26/2022,4/26/2022,1,05/11/22,15,Sun Valley,Rodent feces & junk hauling,"$10,450.00",Y,"$10,450.00",N,
22SC099,4/27/2022,4/27/2022,1,05/16/22,19,Desert Hot Springs,Dog feces,"$2,345.93",Y,"$2,345.93",N,
22SC100,4/27/2022,4/27/2022,1,05/22/22,25,West Hollywood,Blood cleanup,"$29,508.75",Y,"$29,508.75",Y,
22SC101,4/28/2022,4/28/2022,1,05/16/22,18,Los Angeles,Transient camp,$940.50,Y,$940.50,N,
22SC102,4/29/2022,4/29/2022,1,05/04/22,5,Los Angeles,Mattress + Feces,"$1,358.50",Y,"$1,358.50",N,
22SC103,4/29/2022,4/29/2022,1,05/17/22,18,Bermuda Dunes,Fridge cleanout & removal,"$2,699.75",N,COLLECTIONS,N,
22SC104,4/29/2022,4/29/2022,1,05/13/22,14,National City,Blood cleanup,"$3,352.79",Y,"$3,352.79",N,
22SC105,4/30/2022,5/3/2022,3,05/18/22,15,San Marcos,Decomp,"$55,509.05",Y,"$55,509.05",Y,
22SC106,4/30/2022,4/30/2022,1,05/20/22,20,Riverside,Cat feces/urine,"$1,200.00",Y,"$1,200.00",N,
22SC107,5/4/2022,5/4/2022,1,06/02/22,29,Loma Linda,Decomp,"$1,707.51",Y,"$1,707.51",N,Repeat Client
22SC108,5/5/2022,5/5/2022,1,05/27/22,22,Landers,Feces,"$2,600.51",Y,"$2,600.51",N,
22SC109,5/6/2022,5/6/2022,1,05/19/22,13,Lawndale,Decomp,"$4,525.10",Y,"$4,525.10",N,
22SC110,5/7/2022,5/9/2022,3,05/23/22,14,Palm Springs,Clean out,"$23,835.09",Y,"$23,835.09",N,
22SC111,5/9/2022,5/10/2022,2,06/03/22,24,Los Angeles,Gross filth,"$4,667.53",Y,"$4,667.53",N,Repeat Client
22SC112,5/9/2022,5/9/2022,1,05/27/22,18,San Diego,Blood cleanup,"$2,864.36",Y,"$2,864.36",N,
22SC113,5/10/2022,5/10/2022,1,05/2022,-9,Los Angeles,Dispatch fee,$0.00,,,N,
22SC114,5/11/2022,5/11/2022,1,05/26/22,15,San Diego,Feces Trailer,"$2,165.60",Y,"$2,165.60",N,Repeat Client
22SC115,5/12/2022,5/12/2022,1,05/19/22,7,Fontana,Car clean ,$940.50,Y,$940.50,N,
22SC116,5/13/2022,5/13/2022,1,06/07/22,25,Long Beach,Sewage,"$1,995.81",Y,"$1,995.81",N,
22SC117,5/14/2022,5/16/2022,2,06/07/22,22,Cathedral City,Decomp,"$3,135.00",Y,"$3,135.00",N,Repeat Client
22SC118,5/16/2022,5/17/2022,2,06/07/22,21,El Cajon,Decomp,"$4,803.16",Y,"$4,803.16",N,
22SC119,5/17/2022,5/17/2022,1,06/13/22,27,Burbank,Hoarding,"$2,090.00",Y,"$2,090.00",N,
22SC120,5/18/2022,5/18/2022,1,06/07/22,20,La Jolla (San Diego),Sewage,"$1,256.67",Y,"$1,256.67",N,Repeat Client
22SC121,5/19/2022,5/19/2022,1,05/26/22,7,Oceanside ,Sewage,"$1,567.50",Y,"$1,567.50",N,
22SC122,5/19/2022,5/19/2022,1,06/07/22,19,El Cajon,Grease trap,"$1,211.31",Y,"$1,211.31",N,
